18
31
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
1 2 2
1 3 2
1 5 4
1 8 9
1 15 3
2 1 2
2 5 4
2 6 8
3 1 2
3 4 3
3 6 9
3 7 3
4 3 3
4 7 3
4 18 4
5 1 4
5 2 4
5 8 8
6 2 8
6 3 9
6 7 7
6 9 7
6 10 3
7 3 3
7 4 3
7 6 7
7 10 7
7 11 1
8 1 9
8 5 8
8 9 1
8 12 1
8 15 1
9 6 7
9 8 1
9 13 7
10 6 3
10 7 7
10 11 4
10 13 7
11 7 1
11 10 4
11 18 2
12 8 1
12 13 9
12 15 8
13 9 7
13 10 7
13 12 9
13 14 4
13 16 1
13 17 7
14 13 4
14 17 8
15 1 3
15 8 1
15 12 8
16 13 1
17 13 7
17 14 8
18 4 4
18 11 2
